column,missing_count,missing_pct,leading_nan_run_h,trailing_nan_run_h,internal_nan_count,max_internal_gap_h,first_missing_ts,last_missing_ts,refined_missing_count,inherited_vs_introduced,likely_cause
wind_onshore_error_da_lag_12h,10,0.021734877958660262,10,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 10:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
wind_onshore_forecast_update_lag_12h,10,0.021734877958660262,10,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 10:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
wind_total_error_da_lag_6h,7,0.015214414571062184,4,0,3,1,2020-11-30 01:00:00+00:00,2025-10-26 04:00:00+00:00,,,Inherited source gap(s) inside series
NRV_balance_lag_6h,5,0.010867438979330131,5,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 05:00:00+00:00,,,PiT lag layer or source latency (head NaNs expected)
afrr_activated_mw_neg_lag_6h,5,0.010867438979330131,5,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 05:00:00+00:00,,,PiT lag layer or source latency (head NaNs expected)
afrr_activated_mw_pos_lag_6h,5,0.010867438979330131,5,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 05:00:00+00:00,,,PiT lag layer or source latency (head NaNs expected)
mfrr_activated_mw_neg_lag_6h,5,0.010867438979330131,5,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 05:00:00+00:00,,,PiT lag layer or source latency (head NaNs expected)
mfrr_activated_mw_pos_lag_6h,5,0.010867438979330131,5,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 05:00:00+00:00,,,PiT lag layer or source latency (head NaNs expected)
afrr_activation_price_vwap_neg_lag_6h,4,0.008693951183464105,4,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 04:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
afrr_activation_price_vwap_pos_lag_6h,4,0.008693951183464105,4,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 04:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
afrr_activation_rate_lag_6h,4,0.008693951183464105,4,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 04:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
afrr_da_price_spread_lag_6h,4,0.008693951183464105,4,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 04:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
da_price_pit_lag_6h,4,0.008693951183464105,4,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 04:00:00+00:00,,,Unexpected for DA price; check ingestion alignment
grid_stress_index_lag_6h,4,0.008693951183464105,4,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 04:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
is_activated_lag_6h,4,0.008693951183464105,4,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 04:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
mfrr_active_lag_lag_6h,4,0.008693951183464105,4,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 04:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
mfrr_mari_net_mw_lag_6h,4,0.008693951183464105,4,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 04:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
nrv_quantile_5_lag_6h,4,0.008693951183464105,4,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 04:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
nrv_zscore_24h_lag_6h,4,0.008693951183464105,4,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 04:00:00+00:00,,,Rolling/statistical warmup window introduces head NaNs
solar_error_da_lag_6h,4,0.008693951183464105,4,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 04:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
solar_forecast_update_lag_6h,4,0.008693951183464105,4,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 04:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
system_stress_signal_lag_6h,4,0.008693951183464105,4,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 04:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
wind_forecast_update_lag_6h,4,0.008693951183464105,4,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 04:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
wind_onshore_error_da_lag_6h,4,0.008693951183464105,4,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 04:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
wind_onshore_forecast_update_lag_6h,4,0.008693951183464105,4,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 04:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
wind_total_error_da_lag_1h,4,0.008693951183464105,1,0,3,1,2020-11-30 01:00:00+00:00,2025-10-26 01:00:00+00:00,,,Inherited source gap(s) inside series
wind_total_error_da_lag_3h,4,0.008693951183464105,1,0,3,1,2020-11-30 01:00:00+00:00,2025-10-26 01:00:00+00:00,,,Inherited source gap(s) inside series
NRV_balance_lag_4h,3,0.006520463387598079,3,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 03:00:00+00:00,,,PiT lag layer or source latency (head NaNs expected)
afrr_activated_mw_neg_lag_1h,3,0.006520463387598079,0,3,0,0,2026-03-01 00:00:00+00:00,2026-03-01 02:00:00+00:00,,,PiT lag layer or source latency (head NaNs expected)
afrr_activated_mw_neg_lag_2h,3,0.006520463387598079,1,2,0,0,2020-11-30 01:00:00+00:00,2026-03-01 02:00:00+00:00,,,PiT lag layer or source latency (head NaNs expected)
afrr_activated_mw_neg_lag_3h,3,0.006520463387598079,2,1,0,0,2020-11-30 01:00:00+00:00,2026-03-01 02:00:00+00:00,,,PiT lag layer or source latency (head NaNs expected)
afrr_activated_mw_pos_lag_1h,3,0.006520463387598079,0,3,0,0,2026-03-01 00:00:00+00:00,2026-03-01 02:00:00+00:00,,,PiT lag layer or source latency (head NaNs expected)
