date,model,quantile,model_daily_profit_eur,benchmark_daily_profit_eur,realized_model_profit_eur,benchmark_profit_eur,daily_regret_eur,DA_profit_eur,ID_profit_eur,BCM_profit_eur,BEM_profit_eur,penalties_eur,tail_event_flag,activation_surprise_flag,infeasibility_flag,cumulative_model_profit_eur,cumulative_benchmark_profit_eur,cumulative_regret_eur
2025-06-28,RLQR,p50,3201.0901379913817,0.0,3201.0901379913817,0.0,-3201.0901379913817,0.0,0.0,1873.0197165432724,1385.8908413019628,0.0,False,False,False,50466.935111224695,0.0,-50466.935111224695
2025-06-29,RLQR,p50,6293.711013857888,0.0,6293.711013857888,0.0,-6293.711013857888,0.0,0.0,2104.7775000567603,4274.393063927293,0.0,False,False,False,56760.64612508258,0.0,-56760.64612508258
2025-06-30,RLQR,p50,2165.8647320311698,0.0,2165.8647320311698,0.0,-2165.8647320311698,0.0,0.0,0.0,2259.007910260071,0.0,False,False,False,58926.51085711375,0.0,-58926.51085711375
2025-07-01,RLQR,p50,2475.947289504234,0.0,2475.947289504234,0.0,-2475.947289504234,-70.33368267621637,0.0,0.0,2919.694805163469,0.0,False,False,True,61402.45814661799,0.0,-61402.45814661799
2025-07-02,RLQR,p50,-48.44700000000001,0.0,-48.44700000000001,0.0,48.44700000000001,0.0,0.0,0.0,0.0,0.0,False,False,True,61354.01114661799,0.0,-61354.01114661799
2025-07-03,RLQR,p50,912.18960642173,0.0,912.18960642173,0.0,-912.18960642173,352.6350000000001,0.0,991.7013130845532,0.0,0.0,False,False,True,62266.20075303972,0.0,-62266.20075303972
2025-07-04,RLQR,p50,88.16300627481858,0.0,88.16300627481858,0.0,-88.16300627481858,0.0,0.0,0.0,139.05707097292594,0.0,False,False,False,62354.36375931453,0.0,-62354.36375931453
2025-07-05,RLQR,p50,2610.350854494887,0.0,2610.350854494887,0.0,-2610.350854494887,-532.1577647667328,0.0,0.0,3302.226276946525,0.0,False,False,True,64964.71461380942,0.0,-64964.71461380942
2025-07-06,RLQR,p50,678.5213133372915,0.0,678.5213133372915,0.0,-678.5213133372915,5.718716327900438,0.0,1132.0260375415437,0.0,156.40622638045477,False,False,True,65643.23592714671,0.0,-65643.23592714671
2025-07-07,RLQR,p50,189.22276966833056,0.0,189.22276966833056,0.0,-189.22276966833056,429.5138881466438,0.0,0.0,28.784292018838308,0.0,False,False,True,65832.45869681504,0.0,-65832.45869681504
2025-07-08,RLQR,p50,-310.08035300344665,0.0,-310.08035300344665,0.0,310.08035300344665,17.504253059012058,0.0,0.0,25.656674321368858,0.0,False,False,True,65522.37834381159,0.0,-65522.37834381159
2025-07-09,RLQR,p50,521.9480198451265,0.0,521.9480198451265,0.0,-521.9480198451265,0.0,0.0,0.0048532176704631,609.1174253836728,0.0,False,False,False,66044.32636365671,0.0,-66044.32636365671
2025-07-10,RLQR,p50,3198.5816737848804,0.0,3198.5816737848804,0.0,-3198.5816737848804,397.721,0.0,1688.45713852269,1433.6756898513208,0.0,False,False,False,69242.9080374416,0.0,-69242.9080374416
2025-07-11,RLQR,p50,-197.675055139741,0.0,-197.675055139741,0.0,197.675055139741,-93.50968403738888,0.0,0.0,307.66024337871056,0.0,False,False,False,69045.23298230185,0.0,-69045.23298230185
2025-07-12,RLQR,p50,1324.6349871005168,0.0,1324.6349871005168,0.0,-1324.6349871005168,576.7769999999999,0.0,0.0,1065.572569588633,0.0,False,False,False,70369.86796940237,0.0,-70369.86796940237
2025-07-13,RLQR,p50,959.4991080914529,0.0,959.4991080914529,0.0,-959.4991080914529,1048.159469249457,0.0,0.0,723.5675164041871,0.0,False,False,True,71329.36707749382,0.0,-71329.36707749382
2025-07-14,RLQR,p50,122.157351879713,0.0,122.157351879713,0.0,-122.157351879713,0.0,0.0,0.0,217.6986964837463,0.0,False,False,False,71451.52442937353,0.0,-71451.52442937353
2025-07-15,RLQR,p50,178.80233754844224,0.0,178.80233754844224,0.0,-178.80233754844224,132.767,0.0,0.0,308.5890382811257,0.0,False,False,True,71630.32676692198,0.0,-71630.32676692198
2025-07-16,RLQR,p50,3015.083094522968,0.0,3015.083094522968,0.0,-3015.083094522968,155.1494450747794,0.0,1530.0766598686791,1475.9881808487169,0.0,False,False,True,74645.40986144495,0.0,-74645.40986144495
2025-07-17,RLQR,p50,411.8453575962424,0.0,411.8453575962424,0.0,-411.8453575962424,0.0,0.0,0.0,492.88973610217056,0.0,False,False,True,75057.2552190412,0.0,-75057.2552190412
2025-07-18,RLQR,p50,-570.0585706324729,0.0,-570.0585706324729,0.0,570.0585706324729,-463.059,0.0,0.0,330.61942656441596,0.0,False,False,False,74487.19664840872,0.0,-74487.19664840872
2025-07-19,RLQR,p50,4430.916418627864,0.0,4430.916418627864,0.0,-4430.916418627864,0.0,0.0,12.55365318272784,4538.793990693687,0.0,False,False,False,78918.11306703658,0.0,-78918.11306703658
2025-07-20,RLQR,p50,5419.4658277659655,0.0,5419.4658277659655,0.0,-5419.4658277659655,382.7999999999999,0.0,1995.7745743161145,3218.993289943237,0.0,False,False,True,84337.57889480254,0.0,-84337.57889480254
2025-07-21,RLQR,p50,192.75983483636276,0.0,192.75983483636276,0.0,-192.75983483636276,-243.644,0.0,662.4505562927094,90.79299215615458,0.0,False,False,False,84530.33872963891,0.0,-84530.33872963891
2025-07-22,RLQR,p50,1085.0632474730835,0.0,1085.0632474730835,0.0,-1085.0632474730835,4.688999999999851,0.0,0.0,1473.0456604228214,0.0,False,False,False,85615.401977112,0.0,-85615.401977112
